experiment,wer,cs_level,category,ground_truth,prediction
base_forced_ko,0.0714285714285714,phrase,software development,"I think we need to postpone the meeting, 다른 팀원들이 아직 준비가 안 됐어.",I think we need to postpone the meeting. 다른 팀원들이 아직 준비가 안 됐어.
base_auto,0.0714285714285714,phrase,software development,"I think we need to postpone the meeting, 다른 팀원들이 아직 준비가 안 됐어.",I think we need to postpone the meeting. 다른 팀원들이 아직 준비가 안 됐어.
small_auto,0.0833333333333333,phrase,everyday conversation,그냥 아무 생각 없이 go with the flow 하다가 여기까지 온 느낌이야.,그냥 아무 생각 없이 go with the flow 하다가 여기까지 온 느낌이야
base_auto,0.0833333333333333,sentence,software development,오늘 회의가 너무 길어졌어. We should set a clear agenda next time.,오늘 회의가 너무 길어졌어. we should set a clear agenda next time.
base_auto,0.0833333333333333,word,business,We're pitching to a major 재벌 for Series B funding next Tuesday.,We're pitching to a major chevaler for Series B funding next Tuesday.
small_auto,0.0833333333333333,word,everyday conversation,Let's go to the 노래방 tonight and sing some 발라드 songs together.,Let's go to the 노래방 tonight and sing some ballad songs together.
base_forced_ko,0.0833333333333333,sentence,software development,오늘 회의가 너무 길어졌어. We should set a clear agenda next time.,오늘 회의가 너무 길어졌어. we should set a clear agenda next time.
small_forced_ko,0.0833333333333333,phrase,everyday conversation,그냥 아무 생각 없이 go with the flow 하다가 여기까지 온 느낌이야.,그냥 아무 생각 없이 go with the flow 하다가 여기까지 온 느낌이야
small_auto,0.0833333333333333,word,business,We're pitching to a major 재벌 for Series B funding next Tuesday.,We're pitching to a major cheval for Series B funding next Tuesday.
small_auto,0.0869565217391304,word,academic,"The results demonstrate that traditional 김치 fermentation involves complex interactions between Lactobacillus species and indigenous microorganisms, significantly affecting the final product's nutritional profile.","The results demonstrate that traditional kimchi fermentation involves complex interactions between lactobacillus species and indigenous microorganisms, significantly affecting the final product's nutritional profile."
base_auto,0.0869565217391304,word,academic,"The results demonstrate that traditional 김치 fermentation involves complex interactions between Lactobacillus species and indigenous microorganisms, significantly affecting the final product's nutritional profile.","The results demonstrate that traditional kinshi fermentation involves complex interactions between lactobacillus species and indigenous microorganisms, significantly affecting the final product's nutritional profile."
small_auto,0.0909090909090909,phrase,academic,실험에 사용된 장치는 high-speed sampling rate를 제공하여 미세 신호 측정에 적합하다. ,실험에 사용된 장치는 High-speed sampling rate를 제공하여 미세 신호 측정에 적합하다.
small_forced_ko,0.0909090909090909,phrase,academic,실험에 사용된 장치는 high-speed sampling rate를 제공하여 미세 신호 측정에 적합하다. ,실험에 사용된 장치는 High-speed sampling rate를 제공하여 미세 신호 측정에 적합하다.
small_auto,0.0909090909090909,word,travel and culture,Koreans often visit their hometowns during 추석 to hold ancestral rites.,Koreans often visit their hometowns during Chuseok to hold ancestral rites.
base_auto,0.0909090909090909,word,travel and culture,Koreans often visit their hometowns during 추석 to hold ancestral rites.,Koreans often visit their hometowns during Chuseok to hold ancestral rites.
small_auto,0.1,phrase,business,She built the document based on 보여주기용 보고에 익숙한 관성.,She built the documents based on 보여주기용 보고에 익숙한 관성.
small_forced_ko,0.1,phrase,business,She built the document based on 보여주기용 보고에 익숙한 관성.,She built the documents based on 보여주기용 보고에 익숙한 관성.
base_forced_ko,0.1034482758620689,phrase,academic,"We conducted a sentiment analysis on Twitter data to examine public perception shifts following the premiere of 오징어 게임, with a focus on hashtag usage and network centrality metrics.",We conducted a sentiment analysis on twitter data to examine public perception shifts following the premiere of OJISMO game with a focus on hashtag usage and network centrality metrics.
small_auto,0.1034482758620689,phrase,academic,"We conducted a sentiment analysis on Twitter data to examine public perception shifts following the premiere of 오징어 게임, with a focus on hashtag usage and network centrality metrics.",We conducted a sediment analysis on Twitter data to examine public perception shifts following the premiere of Ozingo game with a focus on hashtag usage and network centrality metrics.
