utt_id,ground_truth,prediction,detected_language,wer
521245_Psh5UDSFbhWLZ3gk_0003,मैसेजेस को खोजने के लिए एडवांस्ड फिल्टर्स कैसे निर्धारित करें,मैसेजेस को खूँजने के लिए अद्वान्स्ट फिल्टर्स कैसे निद्धाएत करें?,hi,0.4
118638_nJfFvNUB8tQkaGgp_0000,एक्सफिग के प्रयोग से फीडबैक डाइअग्रैम बनाने के इस मौखिक ट्यूटोरियल में आपका स्वागत है,रोग डी trajectory inequality करिठारिल क्रेक T compromise अपने diseases कि आपienst एक सा�aps कसत्रिलंतंते के प्रायोग नौलित선 latest प्रासँ चारूप me ठ़ दीखई<|da|> Hole Podeि। वी दो scientific उस amiga Jeong नजा from,hi,2.2
103725_UO5ZLDtkc8QMi9Hk_0045,यह spoken tutorial project को सारांशित करता है,यह स्पो कं तोटरेल प्राजग को सराईजिद करता है,hi,0.625
137494_fpL6MBSZsci9dyAn_0026,मैसेजेस अब एक वर्णानुक्रमी क्रम में श्रेणीबद्ध हो गये हैं,मैसेजिस अब एक.. पर नानुग्रमी खरम में शुरनि बद्रौँ,hi,0.9
323507_HgEJsLGKNWSFl8T7_0026,अब आप अपने पहले statement को type करने के लिए तैयार हैं,अब आप अपने पहले स्थेट्मन को ताएप करने किने तएयार है चड्ये तब पहले,hi,0.6666666666666666
323507_HgEJsLGKNWSFl8T7_0083,तो पहले heading education details को चुनें,तो बहने हैदिंग एडुकेशन दितेल पर लग जाएग तरद़ाएग या अंडलाएन करेंगे,hi,1.5714285714285714
610773_nImMxiSAAmCMR3yi_0048,उदाहरणस्वरूप पहले text पर दायाँ click करें और फिर menu में text option पर click करें,उदान सरुब पहले टेश्ट पर दाये क्लिक करें और फिर मेंजू में टेश्ट अव्ष्टन पर क्लिक करें,hi,0.5625
656852_dNHXkqqVPqWYhzis_0057,file saving option के नीचे autosave files checkbox को टिक करें,औलनगाब्शते ब किनीजे Yeah Live अतो सेव पल्सrue अलुट,hi,1.0
103725_UO5ZLDtkc8QMi9Hk_0031,अब दोबारा निष्पादन करते हैं,अब दोबारा निश्पादन करते हैं,hi,0.2
656144_VU6OA7HUqTpQNtm2_0032,panel पर click करें,पनल पर खलेक करें,hi,0.5
318923_NhV290ew2hDJfVqc_0068,main menu से tools और manage snippets पर click करें,तूस और मैनेच इस्मी पेट्स पर क्लिक करीं इस्मी पेट्स उचीवाद,hi,1.1
921151_kvxzesc5pGxL6dnk_0072,इस document में oranges शब्द को गलत लिखते हैं जैसे दिखाया गया है,अरेंजिस शब्द को गलत लिकति हैं जैसे दिखाया गया है में मैंनी।,hi,0.5384615384615384
834022_lHGLSlYIb1clRBRF_0042,notes text box के ऊपरीबाएँ कोने पर त्रिकोण प्रविष्ट करें,नोट्स तेक्स्ट बोक्स के उपरी बायं कोने पर त्रिकोर प्रविष्ट करें,hi,0.6
921151_kvxzesc5pGxL6dnk_0012,यह इंगित करता है कि वे सक्रिय हैं और हम उन्हें इस्तेमाल कर सकते हैं,"नहीं उऽं झाजकर, आप फाशटी � dese під चाम 싸जी आप तो हे ए lady sakri hi keh aur atna ap kar sak right to us name अ आप भी एker आभ टी, ब्त सी, बहूर्टाजाbilir, अख्णध त्prisingly और, ex pema j अ आप भ accommodate से वेँ blasting,slashers on the downside, not short time.",hi,3.6666666666666665
628028_K8YJLqIcMPJ5GftE_0125,आप बाएँ कॉलम के mozilla thunderbird address book के फील्ड्स को दायें कॉलम के जीमेल record data to import column से मिलाने के लिए move up,"अप बाय कोलम के मजला तदर बोड अद्रस बुक के फिल्ट्स को बाय कोलम के जी मेल, रकोर डेटा तु इमपोट कोलम के",hi,0.8461538461538461
508088_RRrEfkw4Rh5TdJkS_0096,अधिक जानकारी के लिए contact @spokentutorial org पर संपर्क करें,"अपने, खुन्तक्ट अद श्पोकें रह्पन तिटूरल तो और जी पर सब पर करे.",hi,1.2
323507_HgEJsLGKNWSFl8T7_0033,आप क्रमानुसार bullets के लिए indent बढ़ाने और घटाने के लिए टैब और shift कीज का उपयोग कर सकते हैं,बूलेट्स के लिए अगर लगाने अगर ग़ाने के लिए तैब और शिफ्ट कीद का उप्योख का सकते हैं बूलेट्स अन दम,hi,0.75
521245_Psh5UDSFbhWLZ3gk_0114,copies and folders डायलॉग बॉक्स दायें पैनल पर प्रदर्शित होता है,अदाय पैनर पर पदर्षेथ होता है,hi,0.7272727272727273
656852_dNHXkqqVPqWYhzis_0005,पहले हम सीखेंगे की gedit text editor को कैसे संस्थापित करना है,ब्ट्य говоря मेरी तरीकािग नाम एक लंसil meet atthext bunuon archaeological,hi,1.0
388577_LPGZ2Jo8uBX4sx76_0018,यह इस लिए क्योंकि gedit text editor पहचानता है कि यह c program code है,योंकी जी अटे टेक्स अदीटर प्देटा था है कि ये खी प्रोग्राम गोड है आँ अगले तुतन तुर्वाँ,hi,1.0666666666666667
103085_w5Jyq3XMbb3WwiKQ_0026,यहाँ दो तरीके है जिससे हम slide की प्रतिलिपि डुप्लिकेट बना सकते हैं,"यह दो तरीके है, जिसे हम निस लैद की पतिल्पी बना सोग न पर रहा है",hi,0.9230769230769231
957491_4xyIm2P6Xzlin341_0143,get mail पर क्लिक करें और get all new messages पर क्लिक करें,अचानचे गेद मेल पर क्लिक करें और गेद और नु मेशेजे पर क्लिक करें बाई बैनल से,hi,0.7692307692307693
161768_ZQC2TFqLsvNDq9bP_0064,pdf options dialog box में file और फिर export as pdf पर click करें pdf options dialog box में सभी options वैसे ही रहने दें और export button पर click करें,"पीड्टेफ अप्छन्स दिलोबवोफश में, फाहल, ने अग्छ पीड्टेप पर कलिक करें. पीड्टेफ अப्छन्ख दिलोब वोच्ट में, सबपी एक से ही रहने दे, और ख्डिक बतन पर कलिक करें.",hi,0.8387096774193549
918821_jFTbEEy3BCO5axj5_0047,आई आई टी बॉम्बे की तरफ मैं सकीना अब आप से विदा लेती हूँ इस ट्यूटोरियल में शामिल होने के लिए धन्यवाद,आईटी बोमबे के तरशे में सकीना अब आप से विदाले ती हो दान्नेवाल,hi,0.8181818181818182
521245_Psh5UDSFbhWLZ3gk_0006,याहू अकाउंट को खुद से कन्फिगर करना,यहु अक्वून को खुछ से कन्फिगर कनना,hi,0.5714285714285714
453832_n3lwFhZkSdbJkOa0_0046,अतः अब हम देखने के लिए तैयार हैं कि कैसे spellcheck विशेषता english usa भाषा के लिए कार्य करती है,,hi,1.0
388577_LPGZ2Jo8uBX4sx76_0017,क्या आपने ध्यान दिया कि file को सेव करने के बाद program में कई रंग हैं,भी नहां दिया की पाल को सेप करने के बाद पुग्राम में काई रंग है ये इसलिये,hi,0.6875
161768_ZQC2TFqLsvNDq9bP_0047,सेव dialog box खुलेगा हम इस फाइल को sample impress के रूप में सेव करेंगे और सेव button पर click करें,नंभाULL groom...,hi,1.0
323507_HgEJsLGKNWSFl8T7_0012,हमने पहले से resume शब्द टाइप किया है और इसे पेज के center में अलाइन एकरेखित किया है,अपने पहले से दिस्वूम शब्द ताएप किया है और इसे पेज के केंदर में अलाईन किया है,hi,0.3333333333333333
957491_4xyIm2P6Xzlin341_0162,यदि आपके पास अच्छा bandwidth नहीं है तो आप इसे download करके देख सकते हैं,अदियाल के पास अच्छा बैन्वित नहीं है तो आप इसे डाओलोड़ कर के दिआनागा।,hi,0.5333333333333333
453832_n3lwFhZkSdbJkOa0_0031,find and replace विशेषता के बारे में सीखने के बाद हम अब सीखेंगे कि libreoffice writer में spellcheck का इस्तेमाल करके वर्तनी कैसे जाँचे,جانیں گے find and replace وششتہ کے بارے میں سیکھنے کے بعد ہم اب سیکھیں کی labor office writer میں سپل چکھا استعمال کر کے ورطنی کیسے جانچیں,ur,1.0
137494_fpL6MBSZsci9dyAn_0061,पूर्ण वार्तालाप मैसेज प्रिव्यू पैनल में दिखाई देता है,पुन वातलाब मेसेज प्रिविव पनल में दिखाई दिता है,hi,0.6666666666666666
137494_fpL6MBSZsci9dyAn_0022,get mail आइकन पर क्लिक करें और get all new messages चुनें,,hi,1.0
478254_aVTioioyNUVPGF4t_0095,tool bar वो bar tools रखते हैं जो आपको jchempaint के साथ काम करने के लिए आवश्यक हैं,"तूल बार्स वो सारे तूल्स रक्ति हैं, जो आपको जे कम्पेंट कि साथ काम करने के लिए आविशक हैं.",hi,0.6111111111111112
137494_fpL6MBSZsci9dyAn_0039,टूलबार से tag आइकन पर क्लिक करें और important चुनें,,error,
478254_aVTioioyNUVPGF4t_0009,* drawing को  mol extension के साथ सेव करना,द्रूंग को दोट माल इक्स्टैंचन के साथ सेव करना,hi,0.5555555555555556
453832_n3lwFhZkSdbJkOa0_0061,जैसे ऑप्शन्स आप निर्धारित करते हैं उसके अनुसार autocorrect अपने आप से फाइल को फॉर्मेट करता है,,hi,1.0
656852_dNHXkqqVPqWYhzis_0064,संक्षेप में,,hi,1.0
360746_4oLp3bc9OSJbDrwM_0028,syntax1:,Syntax 1 Union Union Name Curly Bracket May Members Curly Bracket ke baad Union Variable Aur ek Semicolon,en,18.0
118638_nJfFvNUB8tQkaGgp_0047,कर्सर और छोटा डॉट फिर से दिखाई पड़ता है और सुझाव देता है के हम उन्हें किसी और जगह भी रख सकते है,वाँसके रहीट बटन से उसे खोज करते हैं रहीट बटन अन्गु अपरेशिन खरता है इस केस में दोट सेलेक्षन यहने चुना ख़ाटा दिया गया है इस दोट सेलेक्षन खरता गया है,hi,1.2608695652173914
957491_4xyIm2P6Xzlin341_0021,मोज़िला थंडरबर्ड,موضہ تن,ur,1.0
521245_Psh5UDSFbhWLZ3gk_0156,इस ट्यूटोरियल में हमने सीखा कि कैसे:,ہم نے سیخہ کی کیسے ایک ایمیل اکاون,ur,1.1428571428571428
628028_K8YJLqIcMPJ5GftE_0089,इस एड्रेस बुक को डिलीट करें,,hi,1.0
137494_fpL6MBSZsci9dyAn_0154,यह spoken tutorial को सारांशित करता है,यह स्पोक न्टिडोल प्रजट को सार अंचिट करता है,hi,0.7142857142857143
478254_aVTioioyNUVPGF4t_0089,* edit system variable dialog box खुलता है,अद्ट सिस्टम परड़़़ दालोग बोग्स खुलता है,hi,0.75
133511_swLUjPHatcTk0wf8_0046,अब इस फोर्मुला की दिखावट में सुधार लाते है,भाँ बार नादिया की लिखावड्के में सुदार लाते है,hi,0.5555555555555556
628028_K8YJLqIcMPJ5GftE_0154,अधिक जानकारी के लिए कृपया contact @spokentutorial org पर लिखें,अदिएक जानकारी के लेक्रप्या contact at www.spoken-tutorial.org,hi,0.7
388577_LPGZ2Jo8uBX4sx76_0079,display line numbers option को checkmark करें,अप्शन को चेक्माक करें,hi,0.7142857142857143
791308_kGQKLyQ1HtnUNL1d_0083,मैं window clear करुँगी,मैं बिन्डो प्लीर करूंगी,hi,0.75
791308_kGQKLyQ1HtnUNL1d_0042,सूची में निम्न हैं sytem metal nimbus motif gtk और windows,"System, Metal, Numbers, Motif, GTK, or Windows.",en,1.0
478254_aVTioioyNUVPGF4t_0020,java को synaptic package manager प्रयोग करके ubuntu पर संस्थापित किया जा सकता है,जावा को सिनप्टिक पैकेज मैनेजर प्रेवो कर के उबन्टू पर सस्त्ताः,hi,0.9285714285714286
656144_VU6OA7HUqTpQNtm2_0098,एक menu खुलता है; r1 चुनें,"इंच, ट्राद atleaks.् وجा्द अगउ. पर च्रदाएद अचच्रद् अचचच्च्च्च्च्चीṍटि temples. घंकाए कराँषाम। अप अदम परतिया।",hi,2.5
318923_NhV290ew2hDJfVqc_0041,एक और else if नामक snippet देखते हैं,तो तो तो इस नामब यसनी पेट देकते हैं बाईहाज की अड,hi,1.375
921151_kvxzesc5pGxL6dnk_0025,apply changes button पर click करें,,en,1.0
133511_swLUjPHatcTk0wf8_0008,ब्रिस  विन्डोज़ पर चलता है लेकिन वह इस ट्युटोरियल में नहीं बताया गया है,"अदोस पर शलता है, लेकिन वह इस टॉटोरेल में नहीं बताया गया है",hi,0.35714285714285715
118638_nJfFvNUB8tQkaGgp_0057,अब language और फिर pdf को चुनते है हमें feedbackpdf फाइल मिलती है open feedbackpdfइस कमांड से फाइल को ओपन करते है,,error,
834022_lHGLSlYIb1clRBRF_0089,इस mission पर अधिक जानकारी के लिए उपलब्ध लिंक पर संपर्क करेंspoken hyphen tutorial dot org slash nmeict hyphen intro,अप्लग दिलिंग पर समपर करें श्वोकन रीखण तिट्रोर डोड औरग श्लच आन्टम्य इपिटी रीखण अप्लग,hi,0.95
323507_HgEJsLGKNWSFl8T7_0064,तो पहले text education details को चुनें फिर font name स्थान में down arrow पर click करें,"तो पहले टेक्स्ट अज्गेशन दीटेल्स को चुने, फिर फाँट में च्थान में डाँन अरबर क्लिक करें।",hi,0.7058823529411765
388577_LPGZ2Jo8uBX4sx76_0064,document को gedit text editor window में पुनर्व्यवस्थित करते हैं जैसे कि पहले किया था,तग� की रक्टनवादाल कोगि आदि से �西 मी मोगन्दार॥,hi,1.0
133511_swLUjPHatcTk0wf8_0050,पिडीऍफ़ लेटेक  का इस्तेमाल कर इसे संकलित करते है,अदिएप लेटेक का अस्दमाल कर यसे संगलित करेंगे अन दिफाईंग का,hi,0.8888888888888888
323507_HgEJsLGKNWSFl8T7_0084,अब text को bold करने के लिए bold icon पर click करें,"अप टक्स्त को बूल करने के लिए, बूल्ड आईकंप्रण पूलेगा",hi,0.75
137494_fpL6MBSZsci9dyAn_0056,हम मैसेज threads का उपयोग एक सतत प्रवाह में एक पूरी वार्तालाप के रूप में संबंधित मैसेसेज को देखने के लिए करते हैं,अँ मैसेस ठ्ट्रट्स का उप्योग एक सतट्ट्प्रवाहमे एक पुरी वाताला पुरी रूप में समच्ट मैसेजेजेज को दिखने के लिए करतें।,hi,0.6521739130434783
521245_Psh5UDSFbhWLZ3gk_0132,ध्यान दें कि enable adaptive junk mail controls for this account बॉक्स डिफ़ॉल्ट रूप से चुनित है,"दियान दे, की इन्आबल अदब्टिव जंक मेल कन्त्रोल्स प्र दिस अकाण्ड, बोक्स दीखवार तुबषे चुनित है.",hi,0.9411764705882353
791308_kGQKLyQ1HtnUNL1d_0112,* panel का background रंग बदलना,पैनल का बेग्राँँ रंक बदलना,hi,0.6666666666666666
478254_aVTioioyNUVPGF4t_0033,अब सेव की हुई file को downloads folder से desktop पर let जाएँ,आब सेप की हुई फाँल को डाउन्टोर्द्स फुल्डर से देक्स टोग पर लेजाए,hi,0.6923076923076923
161768_ZQC2TFqLsvNDq9bP_0077,अब हमारे द्वारा देखी गई file को फिर से ओपन करें,अब हमारे दोरा देखीगाई फायल को फिर से अपन करें,hi,0.45454545454545453
478254_aVTioioyNUVPGF4t_0055,close पर click करें,खुज पर क्लिक करें,hi,0.5
453832_n3lwFhZkSdbJkOa0_0108,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाते हैं जो online test pass करते हैं उनको प्रमाणपत्र भी देते हैं,,hi,1.0
318923_NhV290ew2hDJfVqc_0112,यहाँ आपके लिए assignment है,ents,hi,1.0
847066_Bmcrju1ByfdrXE9P_0035,ट्रांजिशनस्स प्रभाव हैं जो slides पर लागू किये जाते हैं जब हम प्रस्तुति में एक slides से दूसरी slides पर स्थानांतरण या transitions करते हैं,"तो चिन्दवार किया थो तो तो तो पहुट प्रभाव लगु किया जाते है, ज़द हम प्रस्तुती में एक निस तुशी निस निस निस आन्तर या त्रन्दिशन करते है।",hi,0.88
360746_4oLp3bc9OSJbDrwM_0038,अब इसे निष्पादित करते हैं terminal पर type करें gcc space union dot c space hyphen o space union,आब इसे निश पादित करते हैं तरमिनल पर ताइप करें GCC space union .C space hyphen o space union Type type करें . slash union,hi,0.7368421052631579
921151_kvxzesc5pGxL6dnk_0014,आप ubuntu software center का उपयोग करके कर सकते हैं,तो आपटविया संटर का उग्योप कर कर सकती हैं जी अटिट पिर्फ्रिशन के लिए और अग्यों कर कर सकती हैं,hi,1.8
847066_Bmcrju1ByfdrXE9P_0089,इसी के साथ हम इस tutorial की समाप्ति की ओर आ गये हैं slide shows slide shows slide transitions slide transitions automatic show automatic show,"इसी के साथ हम इस चीट्ट्योल की समबती की और आगागे है इस चीट्ट्योल में हम निम्ने के बारे में सीखा सलाइट शोज, सलाइट चन्दिशन्स, अटमाटिक शोग यहाँ",hi,0.84
834022_lHGLSlYIb1clRBRF_0035,मुख्य menu में format और character पर click करें,मुखह मैंव में फोरमेट और कलतर पर क्लिक करें,hi,0.5555555555555556
133511_swLUjPHatcTk0wf8_0016,टाइपिंग करते वक़्त माउस बक्से के भीतर रहे इसका ख्याल रखना होगा फ्लेग की मौजूदा नोर्मल  वेल्यु को  स्पेशल  में बदलेंगे,"भी तर लग ताए बाँच्ट बख्षे के बीटर रहें, इसका ख्याल रखना हो गा. प्लाग्ट की मोजुदा नोमल वालिए को सपेषल में बडलेंगे. तन परक.",hi,0.8571428571428571
791308_kGQKLyQ1HtnUNL1d_0004,* यूज़र interface भाषा,user interface Basha.,en,0.75
791308_kGQKLyQ1HtnUNL1d_0109,एक नियत कार्य में अनेक structures प्राप्त करने के लिए दिए गए smiles और inchi keys को सम्मिलित करें,इक नियत कार रहें आनेक श्वक्छार स्वापकरने के लिए दिये गाई स्माल्स और इंजी कीस को सम्मिलित करें,hi,0.631578947368421
270589_FV8hkymGWcy53lrf_0025,यह इसलिए क्योंकि हम overview slide पर थे जब हमने outline टैब को चुना,अफ आ� Das अब आद वॉँंम।,hi,1.0
628028_K8YJLqIcMPJ5GftE_0080,अगला एड्रेस बुक को डिलीट करना सीखते हैं,अद्रस बुक्को डिलिट करना सीकते हैं ख्याल देहें,hi,1.0
957491_4xyIm2P6Xzlin341_0019,उबंटू साफ्टवेयर सेंटर पर अधिक जानकारी के लिए कृपया इस वेबसाइट पर जाएँ,उबंटु सूफ्या संटर पर अदिक जांखारी के लिए करप्या इस वेप्ट्टाइट पर जाएं,hi,0.6153846153846154
347099_K5BlLYB9ynemLTVa_0016,जैसे कि text विवरण देता है यह slide का name दिनांक और समय और यदि कोई छिपा हुआ पेज है उसे print करेगा,"ज़सेगी टेक्स्ट्वेरुन देता है, यह न्ट्टार नाम, दिनांग, वस समें, और दिए कोई चिपा हुँ पेज है,",hi,0.782608695652174
161768_ZQC2TFqLsvNDq9bP_0080,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाती है,پوکنٹ دولر پوجیک ٹیم، پوکنٹ دولر کا اپیو کر کے کارشالائیں بھی چلاتی ہیں,ur,1.0769230769230769
521245_Psh5UDSFbhWLZ3gk_0168,मैसेजेस को आर्काइव करने के लिए प्रीफरेंस निर्धारित करें,अदरने के लिए प्रिफ्रेंशर नधाएद करें,hi,0.6666666666666666
478254_aVTioioyNUVPGF4t_0093,यह menu bar है,यहे मैनुबार है,hi,0.75
360746_4oLp3bc9OSJbDrwM_0050,इसे सारांशित करते हैं,इसे सारा अचिट करते हैं,hi,0.5
