accent,ground_truth,prediction,wer
"Southern African (South Africa, Zimbabwe, Namibia)",This allowed it to operate on most lightly laid routes and secondary lines.,This allowed it to operate on most likely late routes and secondary lines.,0.15384615384615385
"Southern African (South Africa, Zimbabwe, Namibia)","Likewise, the Church of the Blessed Hope will accept a Christadelphian into fellowship.","Likewise, the Church of the Blessed Hope will accept a Christodolfian into fellowship.",0.07692307692307693
"Southern African (South Africa, Zimbabwe, Namibia)","The ending of a phrase, before a comma, or a stop, is always weak.",The ending of a phrase before a comma or a stop is always weak.,0.21428571428571427
"Southern African (South Africa, Zimbabwe, Namibia)",It does not readily apply in a mechanistic understanding of scientific discovery.,It does not readily apply in a mechanistic understanding of scientific discovery.,0.0
"German English,Non native speaker","""Henry Larsen"" displaces at full load.",Henry Larson displaces at full load.,0.3333333333333333
"German English,Non native speaker",Hall was an eminent authority on Oriental inscriptions.,Hall was an eminent authority on oriental inscriptions.,0.0
"German English,Non native speaker","Thame is a bearded man, while Isis is female.",Came is a beautiful man while ISIS is female.,0.3333333333333333
"German English,Non native speaker","Compton rapper Game's song ""Dreams"" is dedicated to her memory.",Compton Rapper Games Song Dreams is dedicated to her memory.,0.2
"German English,Non native speaker","Before this time, there had been talk of eliminating tuition fees altogether.",Before this time there had been talk of eliminating tuition fees altogether.,0.08333333333333333
"German English,Non native speaker","A former resident of Montclair, New Jersey, he now resides in Maplewood, New Jersey.","A former resident of Montclair, New Jersey, in our resides in Maplewood, New Jersey.",0.14285714285714285
"German English,Non native speaker",Afterwards Canadian patriots began focusing on self-government and political reform within the British Empire.,"Afterwards, Canadian Patriots began focusing on self-government and political reform within the British Empire.",0.07142857142857142
"German English,Non native speaker",Custom House for the Port of New York.,Custom house for the port of New York,0.125
"German English,Non native speaker",Ahwa is also a tehsil in Dang District.,A1 is also a T-seal in down district.,0.375
"German English,Non native speaker",Both sides in the war make efforts to silence inconvenient reporters.,Both sides and the wall make efforts to silence inconvenient reporters.,0.18181818181818182
"German English,Non native speaker",Eco Class was the Economy-fare product.,Equal class was the economy fair product.,0.5
"German English,Non native speaker",The Tioga Independent School District serves local students.,The Tioga Independence Cool District serves local students.,0.25
"German English,Non native speaker","Rutland was educated at Eton College and Trinity College, Cambridge.","Rutland was educated at Eton College and Trinity College, Cambridge.",0.0
"German English,Non native speaker",Lombardozzi then singled in Brunansky.,"Lombardorzy, Zen singled in Brunansky.",0.4
"German English,Non native speaker",It is also the largest shopping mall operator in America.,It is also the largest shopping mall operator in America.,0.0
"German English,Non native speaker","This kind of scrolling is called, ""coarse scrolling"".",This kind of scrolling is called course scrolling.,0.375
"German English,Non native speaker","After the war, Ingalls returned to Harvard as Wales Professor of Sanskrit.","After the warm, Ingles returned to Harvard as a way to Professor of Sunskut.",0.5
"German English,Non native speaker",He then began lecturing in mathematics at Aberdeen.,He then began lecturing in mathematics at Aberdeen.,0.0
"German English,Non native speaker",Cramer ran for the vacant Congressional seat and won.,Cramer ran for the vacant congressional seat at 1.,0.2222222222222222
"German English,Non native speaker",Willoughbyland was renamed Suriname.,"Willow, Byland, was renamed, Suriname.",0.75
Filipino,Hoteling is more appropriate to some work roles than others.,Hotel is more appropriate to some workloads than others.,0.3
Filipino,The other railway station in the town is on the Shotts Line.,The railway station in the town is on the shots line.,0.16666666666666666
Filipino,The Cherwell is the northernmost tributary of the Thames.,The turban is the northern most tributary of the Thames.,0.3333333333333333
Filipino,And they are respectable people.,And they are respectable people.,0.0
Filipino,This was in sharp contrast with some of the northern Indian kings.,This was in sharp contrast to put some of the Northern Indian kings.,0.16666666666666666
Filipino,Curran Renewable Energy manufactures wood pellet fuel and mulch in the town.,Curran renewable energy manufacturers would build fuel and mulch in the town.,0.25
Filipino,"Headed by Admiral Jose Malcampo, they captured Jolo and established a Spanish settlement.","Headed by Admiral José Malkampo, the captured hallot in established a Spanish settlement.",0.38461538461538464
Filipino,Hennepin is part of the Ottawa-Streator Micropolitan Statistical Area.,An habin ni sparklatam ito Sri Talis kai затit katalog,1.1111111111111112
Filipino,Nuclear proliferation is a major threat to the international peace and security.,Nuclear Plore Veración es un gran trato de la comunidad internacional en la Seguridad.,1.0833333333333333
Filipino,"As she is not wearing her pearls, the gang flee without any loot.","As she is not wearing her pearls, the gang flee without any loot.",0.0
Filipino,The acorns of the chestnut oak are a valuable wildlife food.,The acorns of the Chestnut Oak are a valuable wildlife food.,0.0
Filipino,He also served as an army Captain in the Mexican-American War.,,
Filipino,The referendum did not end as expected.,The referendum did not end as expected.,0.0
Filipino,"Later, he moved to Wellington, working for the Government Stores Board.",Later he moved to Wellington working for the government's stores board.,0.2727272727272727
Filipino,"According to the filing, they would like to keep doing business while they restructure.","According to the filing, they would like to keep doing businesses while they were",0.14285714285714285
Filipino,The phenomenon is also known as data decay or data rot.,Minominant is also known as Data Decade or Data Rat.,0.36363636363636365
Filipino,"The next month, Sigismund was accepted as King of Bohemia by all major factions.",The next month's Seekis Moon was accepted as King of Bohemia by all major factions.,0.21428571428571427
Filipino,Squier was also in the broadcast booth for Sprint Cup Series final practice.,Square was also in the broadcast booth for his Grand Cup Series Final Practice.,0.23076923076923078
Filipino,As well as What a Carve Up!,as well as with a carve up,0.2857142857142857
Filipino,"Specifically, the player could solicit intercourse from a virtual prostitute, and then kill her.","specifically that player could抽 the CC intercourse from 1 Manuel post mission, and encapsulate caus",0.8571428571428571
Hong Kong English,The Indian Territory had a large Native American population.,The Indian territory had a large native American population.,0.0
Hong Kong English,Anyway it's dead right for this character.,"Anyway, is that right for this character?",0.5714285714285714
Hong Kong English,"Even when they did so, however, they would be heavily outnumbered by the defenders.",Even when they did so however they would be heavily outnumbered by the defenders.,0.14285714285714285
Hong Kong English,Males and females can be distinguished by their weight.,Males and females can be distinguished by their weight.,0.0
Hong Kong English,Custody of Guy was granted to Darcy who raised him at the stud farm.,Kastudi of Guy was granted to Darcy who raised him at the stud farm.,0.07142857142857142
Hong Kong English,Financially they received help from Quakers.,Financial they received help from Plycus.,0.3333333333333333
Hong Kong English,Long discovered that the petroleum companies had increased their advertising dollars in the newspaper.,Long to discover that the paternium companies had increased their advertising dollars in the newspaper.,0.21428571428571427
Hong Kong English,"It is located in Springfield, Illinois, the state capital of Illinois.","It is located in Springfield, Illinois, the state capital of Illinois.",0.0
Hong Kong English,"It was also nominated for the Russian ""Booker"" prize.",It was also nominated for Russian Booker Prize.,0.2222222222222222
Hong Kong English,Cantor Fitzgerald's corporate headquarters were located in One World Trade Center.,Cantifits Gerrold's corporate headquarters were located in one world trade center.,0.18181818181818182
Hong Kong English,"It is described as a ""syrupy, well-balanced and thoroughly accessible"" espresso.",It is described as a CVP well balanced and firmly accessible despisal.,0.5454545454545454
Hong Kong English,"His body was found, trapped beneath a log by Dombrovskis.",His body was found trapped beneath a log by Dom's Rakis.,0.3
Hong Kong English,It's much better fun for the village.,It's much better fun for the village.,0.0
Hong Kong English,After his first season he has now gained formidable coaching experience.,"After his first season, he has now gained formidable coaching experience.",0.09090909090909091
Hong Kong English,Both of my parents were Finnish.,Both of my parents were finished.,0.16666666666666666
Hong Kong English,"Lyons is a native of Elizabeth, New Jersey.",Lines is a nickname of the database news jersey.,0.625
Hong Kong English,The access requires the use of boats.,The SS requires the use of boats.,0.14285714285714285
Hong Kong English,"It is a small, pale blue butterfly.",,
Hong Kong English,The building has been designated by English Heritage as a Grade One listed building.,The building has been designated by English Heritage as Grade 1 listed building.,0.14285714285714285
Hong Kong English,"Nowadays, there are hydroelectric power stations in use.","Nowadays, there are hydroelectric power stations in use.",0.0
Singaporean English,One night Matamoros broke the siege and could join Miguel Bravo in Aculco.,"One night, Matawa was broke the siege and could join Meguel Bravo in that kill call.",0.5384615384615384
Singaporean English,"At around the same time, the Romans were finally the victors over Carthage.",And around the same time the Romans will finally lead the victors of a cottage.,0.5384615384615384
Singaporean English,It is the home of the football team of Harvard.,It is the home of the football team of Harvard.,0.0
Singaporean English,"These crossbands are edged by fine, irregular, beige spots.",These crossbands are edge by fine irregular beige spots.,0.3333333333333333
Singaporean English,"Parker attended Union Theological Seminary, and became an ordained Christian minister.",Parker attended Union Theological Seminary and became an ordained Christian immune kg even is stuck.,0.5454545454545454
Singaporean English,Bock's description of oak apples is noted in the entomologists data base.,Box description of Oak Air Force is noted in the entomologist database.,0.5
Singaporean English,"One confirmed vector of the virus is the phlebotomine sand fly ""Lutzomyia shannoni"".","One confirmed vector of the virus at the flabotamin sandfly, Lutomia Shannoni.",0.46153846153846156
Singaporean English,The existing dam is the second structure to be called the American Falls Dam.,The existing dam is the second structure to be called the American Falls Dam.,0.0
Singaporean English,"Their blended family includes daughters Alexis, Hailey, Addison and son, Jack.",,
Singaporean English,Final mixing was performed at Crystal Sound.,Final mixing was performed at Crystal Sound.,0.0
Singaporean English,Also by their northern border were the Wasco-Wishrams.,Also get Northern Boulder with our White Skiak Wishrooms!,1.0
Singaporean English,Many deploy broad blocks of harmoniously arranged colour and are symbolic rather than narratival.,Many dibenarkan esokanaya di kelal gelap lasa KELU Mari kita gunakan elles,0.9285714285714286
Singaporean English,Criminal mischief is usually a misdemeanor.,Kamello mischief des lügelier flute mittem Syna.,1.0
Singaporean English,"However, this is only a persona, as discussions on Mecha-Mecha Iketeru!",私は過去とたびです。はました。つまり、目覚め toward usたびら丹された角色の面で Momの方 Meでにかけます。,1.0
Singaporean English,The client programs realize more complex functionalities by interacting with the server.,The client program to realize more complex functionalities by interacting with the server.,0.16666666666666666
Singaporean English,Wapishana is classified as a member of the Arawak language family.,Wapishana is classified as a member of the Arrowwalk language family.,0.09090909090909091
Singaporean English,The American loss is uncertain.,The American loss is uncertain.,0.0
Singaporean English,Trenches were dug across the surrounding area to prevent an airborne attack.,Trenches would dive across the surrounding area to prevent an airborne attack.,0.16666666666666666
Singaporean English,"In all other circumstances, a military award should be considered.","In all other circumstances, a military award should be considered.",0.0
Singaporean English,It was the first notable milestone on the long rocky road towards colonial unity.,Tak ada rotor 합니다 itu telah meng完全 menggற juga di belakang keмос vie jalan Melanie,1.0714285714285714
"India and South Asia (India, Pakistan, Sri Lanka)",Obey grew up as a Republican.,Obey ruap asyai riba bika.,0.8333333333333334
"India and South Asia (India, Pakistan, Sri Lanka)",He has registered for eleven international patents on various aspects of video networking.,He has registered for 11 International Patents on various aspects of video networking.,0.07692307692307693
"India and South Asia (India, Pakistan, Sri Lanka)",B and M Bargains also has presence in the centre.,B and M bar gains also has presence in the center.,0.3
"India and South Asia (India, Pakistan, Sri Lanka)",Port of Long Beach is the largest container terminal in America.,Port of Long Beach is the largest container terminal in America.,0.0
"India and South Asia (India, Pakistan, Sri Lanka)",Planinc began to pursue a full-time career within the League of Communists of Croatia.,Planning began to pursue a full-time career within the League of Communists of Krocia.,0.14285714285714285
"India and South Asia (India, Pakistan, Sri Lanka)",Molybdenite-the principal ore from which molybdenum is now extracted-was previously known as molybdena.,Mollip denied the principle or from which Mollip denim is now extracted with previously known as Mollip denim.,0.8461538461538461
"India and South Asia (India, Pakistan, Sri Lanka)",The game was published by Eidos Interactive.,The game was published by AIDOS Interactive.,0.14285714285714285
"India and South Asia (India, Pakistan, Sri Lanka)",Tottenham Hotspur and Inter Milan were also interested in signing the Celtic player.,t orada na Xiao k,1.0
"India and South Asia (India, Pakistan, Sri Lanka)",It is a concise listing of thirteen fundamental doctrines of Mormonism.,It is a concise listing of 13 fundamental doctrines of Mormonism.,0.09090909090909091
"India and South Asia (India, Pakistan, Sri Lanka)","After a hardship-filled infancy, upon completing his studies, he became a Christian preacher.","After a hardship filled, infancy upon completing his studies, he became a Christian preacher.",0.23076923076923078
"India and South Asia (India, Pakistan, Sri Lanka)",Assens is the municipal seat of Assens Municipality in Region of Southern Denmark.,Essence is the municipal seat of Essence Municipality in the region of southern Denmark.,0.23076923076923078
"India and South Asia (India, Pakistan, Sri Lanka)","Random-orbital sanders use sandpaper disks, and many include integrated dust collectors.",Random orbital senders use sandpaper discs and many include integrated dust collectors.,0.36363636363636365
"India and South Asia (India, Pakistan, Sri Lanka)",She now resides in London with her son and daughter.,She never sides in London with her son and don't have.,0.4
"India and South Asia (India, Pakistan, Sri Lanka)","No abbreviatins in contributed sentences, please.","No abbreviations in Contributed Sentences, please.",0.16666666666666666
"India and South Asia (India, Pakistan, Sri Lanka)",The signs have since been replaced with the correct shields.,The science has been replaced with the correct shields.,0.3
"India and South Asia (India, Pakistan, Sri Lanka)","Balete is from Kalibo, the provincial capital.","Balleté is from Calibur, the provincial capital.",0.2857142857142857
"India and South Asia (India, Pakistan, Sri Lanka)",He played with the Borodin Quartet.,He played with the Borotin Quartet.,0.16666666666666666
"India and South Asia (India, Pakistan, Sri Lanka)",Campbell died in Philadelphia.,Campbell died infillible fear.,0.5
"India and South Asia (India, Pakistan, Sri Lanka)","The wealth of some may ""depend"" on the poverty of others.",The wealth of some may depend on the poverty of others.,0.09090909090909091
"India and South Asia (India, Pakistan, Sri Lanka)",Prentice then took over the writing along with others.,Renters then to cover the writing along with others.,0.3333333333333333
