utt_id,ground_truth,prediction,detected_language,wer
453832_n3lwFhZkSdbJkOa0_0108,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाते हैं जो online test pass करते हैं उनको प्रमाणपत्र भी देते हैं,"s.pokentidural project team if Pokentidural ka upiokkar ke kaare shalayin bhi chalate hai jo online test pass krte hai, onko domal patri bhi dhe te hai aati jankadi kiliye",hi,1.0416666666666667
318923_NhV290ew2hDJfVqc_0112,यहाँ आपके लिए assignment है,Assignment Company Head-in,hi,1.0
847066_Bmcrju1ByfdrXE9P_0035,ट्रांजिशनस्स प्रभाव हैं जो slides पर लागू किये जाते हैं जब हम प्रस्तुति में एक slides से दूसरी slides पर स्थानांतरण या transitions करते हैं,پر بھاؤ ہے جو سلائٹس پر لگو کیے جاتے ہیں جب ہم پر ستو تی میں ایک سلائٹس دوسری سلائٹس پر اس تھانتر یا تراندشن کرتے ہیں,hi,1.08
360746_4oLp3bc9OSJbDrwM_0038,अब इसे निष्पादित करते हैं terminal पर type करें gcc space union dot c space hyphen o space union,Abhi se nish paadet karte hai Terminal per Type kare GCC Space Union Dot C Space Hifn O Space Union Type kare Dot Slash Union,hi,1.3157894736842106
921151_kvxzesc5pGxL6dnk_0014,आप ubuntu software center का उपयोग करके कर सकते हैं,"cnn2,5R sai",hi,1.0
847066_Bmcrju1ByfdrXE9P_0089,इसी के साथ हम इस tutorial की समाप्ति की ओर आ गये हैं slide shows slide shows slide transitions slide transitions automatic show automatic show,اسی کے ساتھ ہم اس چیٹوال کے سماطی کیوں را گئے ہیں اس چیٹوال میں ہم نے نمن کے بارے میں سی کھا سلایڈ شوز سلایڈ چیٹوال کے سماطی کیوں را گئے ہیں,hi,1.32
834022_lHGLSlYIb1clRBRF_0035,मुख्य menu में format और character पर click करें,Motion menu in format off- Actor Talk,hi,0.7777777777777778
133511_swLUjPHatcTk0wf8_0016,टाइपिंग करते वक़्त माउस बक्से के भीतर रहे इसका ख्याल रखना होगा फ्लेग की मौजूदा नोर्मल  वेल्यु को  स्पेशल  में बदलेंगे,mouze bhakse ke bhitar arhe hiska hiyal rakna ho ga flad ki mojuda normal value ko special me baalenge dun perk,hi,1.0
791308_kGQKLyQ1HtnUNL1d_0004,* यूज़र interface भाषा,User Interface Basha,en,1.0
791308_kGQKLyQ1HtnUNL1d_0109,एक नियत कार्य में अनेक structures प्राप्त करने के लिए दिए गए smiles और inchi keys को सम्मिलित करें,di guy smiles we are putting the green ties c Sammy,hi,1.0
270589_FV8hkymGWcy53lrf_0025,यह इसलिए क्योंकि हम overview slide पर थे जब हमने outline टैब को चुना,ghaom overdev slide Wave dhamaom ne outline tab có preference ื´ez,hi,0.9285714285714286
628028_K8YJLqIcMPJ5GftE_0080,अगला एड्रेस बुक को डिलीट करना सीखते हैं,13 الاستolie läiem еще,hi,1.0
957491_4xyIm2P6Xzlin341_0019,उबंटू साफ्टवेयर सेंटर पर अधिक जानकारी के लिए कृपया इस वेबसाइट पर जाएँ,IAMRES PLTA,hi,1.0
347099_K5BlLYB9ynemLTVa_0016,जैसे कि text विवरण देता है यह slide का name दिनांक और समय और यदि कोई छिपा हुआ पेज है उसे print करेगा,"देसे की खेशे वे वरोन देता है, ये स्लापका नाम, दिनांवव़स समें, यडे ती को जिपा हो पेश है",hi,0.9565217391304348
161768_ZQC2TFqLsvNDq9bP_0080,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाती है,Pukantudur Project Team Spukantudurga Upayokar Kharashalayim Vee Chalati,hi,1.0
521245_Psh5UDSFbhWLZ3gk_0168,मैसेजेस को आर्काइव करने के लिए प्रीफरेंस निर्धारित करें,גder na ki rationale. .,hi,1.0
478254_aVTioioyNUVPGF4t_0093,यह menu bar है,یہ menu bar he?,hi,0.5
360746_4oLp3bc9OSJbDrwM_0050,इसे सारांशित करते हैं,اسے سارا انچھت کرتے ہیں,hi,1.25
